pid,projectname,strategic,economic,localbenefit,green,business,overall
3844,South Platte River Basin Reservoir and Pipeline Project,3.5,4,4,4,3,3.75
3570,Port of Alaska Modernization Project,4,4,4,3,3,3.75
3395,Brazos Island Harbor Improvement Project,4,4,3,4,3,3.75
403,Miami-Dade Water and Sewer System Projects,4,4,3,4,3,3.75
3718,Clifton Corridor LRT Phase 1,4,4,3.5,3,3.5,3.725
3677,I-70/Picadilly Interchange,4,3.5,4.5,3,3.5,3.725
4003,Memphis-Nashville I-40 Smart Fiber Project,3,5,4,4,1,3.7
3546,Crimson Solar,3,3.5,4,5,4,3.7
3911,U.S. 17 Widening from N.C. 171 to South of Williamston,3,2,11,3,1,3.7
3549,I-25/I-80 Interchange Project,3.5,4,4,3,4,3.7
3403,Miami International Airport Capital Improvement Program,4,4,3,3,4,3.7
3516,MVP Southgate,3,4.5,4.5,2,4,3.625
3863,"Mud River Levee in Milton, WV",3.5,3.5,4,4,3,3.6
3976,Comite River Diversion Canal Project,4,4,1,5,3,3.6
2216,75th Street Corridor Improvement Project,4,3.5,4,3,3,3.6
2120,The SunZia Southwest Transmission Project,4,4,3,3,3,3.6
3822,Navajo Energy Storage Station 2.2 GW,3,3,4,5,4,3.55
3712,Pearland Surface Water Treatment Plant,3.5,3.5,3.5,4,3,3.525
3823,Walker Lake Pumped Storage Project 2GW,3,4,3,4.5,3,3.525
3808,Wausau Drinking Water System Treatment Facility Project,3,4,4.5,4,1.5,3.525
3699,Fort Wayne Airport Expansion,4,3.5,3.5,3,3,3.525
1818,Lake Charles LNG Export Facility,3,4,4,2,5,3.5
3931,Prairie Wolf 200MW Solar Project,3.5,3,3.5,4.5,3,3.45
3484,Rush Line BRT,3.5,3.5,3.5,3.5,3,3.45
3969,Houma Navigation Canal Lock Complex,4,4,1,4,3,3.45
3732,SR 522 - Paradise Lake Road Interchange,3,4,4,3,3,3.45
3439,I-80/I-215 Parley's Interchange,4,3,4,3,3,3.45
3932,Knox County 150MW Wind Project,4,3.5,2.5,4,2,3.425
3627,Lava Ridge Wind Project 1000MW,3.5,3,3,4.5,3.5,3.425
3600,Sioux Falls Water Reclamation Plant expansion,3.5,3,4,4.5,2,3.425
3862,Longview Power Clean Energy Center (1.1GW Gas + 70MW Solar),4.5,3.5,3,2.5,2,3.425
4019,North Miami Beach Water Regional Potable Water Improvements,3,5,1,5,1,3.4
3738,Lincoln Land Wind Project,3,3,4,5,2.5,3.4
3701,The Underline Multimodal Mobility Corridor,3,5,1,5,1,3.4
3558,New Mexico Unit of the Central Arizona Project,3,3,4,4,4,3.4
3501,Seattle Tacoma Airport Sustainable Airport Master Plan Near Term Projects,3.5,3,3,4,4,3.4
3513,Alkali Creek Reservoir Project,4,3,4,2,4,3.4
1180,Ramsey Gold Line BRT,3,3,4,3.5,4.5,3.375
3965,MAX Red Line Extension,3.5,3.5,3.5,3,3,3.375
3861,Black Rock Wind Farm,3.5,3,3,4.5,3,3.375
3945,MID Romeo Arm Interceptor Segment 5 Sanitary Sewer Structural Integrity Improvement Project,3,3.5,4,4,2,3.35
3638,Manatee Energy Storage Center,3,5,1,4,2,3.35
3585,McClellanville 115 kV Transmission Line Project,3,5,1,4,2,3.35
3708,Blue River Biosolids Facility Project,3.5,3,4,4,2,3.35
3430,South Shore Line's Double Track Northwest Indiana project,3.5,3,4,3.5,2.5,3.325
2506,Huntington Beach Desalination Plant,3,3,3,5,3,3.3
3977,West Shore Lake Pontchartrain levee project,3,4,2,4,3,3.3
3972,CALCASIEU SHIP CHANNEL SALINITY CONTROL MEASURES,3,4,1,5,3,3.3
3944,Holland Area Water Reclamation Facility Anaerobic Digestion Project,3,3.5,4,4,1.5,3.3
3942,Kalamazoo Area Water Main and Service Line Improvements,3,3.5,4,4,1.5,3.3
3937,Water Works Park WTP to Northeast WTP Transmission Main Project Phase 2/3,3,3,4,4,3,3.3
3899,Escalante 200MW Solar Project,3,3,3,5,3,3.3
3787,Oronoco Wastewater System,3,3.5,4,4,1.5,3.3
3771,Orion 800-MW Solar Project,3,3,3,5,3,3.3
3700,Carolina Crossroads I-20/26/126 Corridor Improvement Project,3,4,3,3,3,3.3
3572,Ten West Link Transmission Project,3,4,3,3,3,3.3
3553,Borderlands Wind Project,3,3,3,5,3,3.3
3529,Eagle Shadow Mountain Solar Project,3,3,3,5,3,3.3
2541,VTA BART Silicon Valley Extension Phase II,3,4,3,3,3,3.3
2528,D2 Subway,3,4,2,4,3,3.3
3934,Woodford 800MW Wind Project,3.5,3,3,4,3,3.3
2675,LBJ East Expansion,4,4,2,2,3,3.3
3688,SL 335 Upgrades,5,3,1,3,3,3.3
3721,American Legion Bridge Rebuilding and Widening,3,3.5,3.5,3,3.5,3.275
3691,US Route 30 Extension Ohio,3,3.5,3.5,3,3.5,3.275
3522,Dallas Fort Worth Runway 18R/36L Rehabilitation,3,3.5,3.5,3,3.5,3.275
3870,Ambler Arctic Road Project,3.5,3,3.5,3,3.5,3.275
3595,Memphis Innovation Corridor,3,5,1,4,1,3.25
3970,Bayou Lafourche Freshwater District Pumping Capacity Improvements Phase 1,4,4,1,4,1,3.25
4018,San Francisco International Airport Terminal 3 West Modernization,3,3,4,3,4,3.25
3668,Ala Moana Boulevard Elevated Pedestrian Walkway,3,3,4,3,4,3.25
3635,Pangborn Memorial Airport,3,3,4,3,4,3.25
3538,Route 68 Corridor Operational Improvements,3,3,4,3,4,3.25
3537,Butte 70 Passing Lanes (Segment 3) Project,3,3,4,3,4,3.25
3957,North Lake Shore Drive Project,3.5,3,3,3,4,3.25
3589,Pecos Municipal Airport Rehabilitation,3,3.5,3.5,3,3,3.225
3566,"Manchester Municipal Airport, Land Acquisition, Runway Extension, Terminal Area Improvements",3,3.5,3.5,3,3,3.225
2668,"Twin Ports Interchange ""Can of Worms"" Project",3.5,3.5,3,2.5,3,3.225
3611,EVRAZ Pueblo,3,3,3,5,2,3.2
3674,Grant Avenue Connect Parkway Project,4,3.5,3,2,2,3.2
3963,IndyGo BRT Purple Line,3,3,3.5,3.5,3.5,3.2
3813,Kaw Lake Water Pipeline Project,3,4,1,5,2,3.2
3531,Gnoss Field Runway Extension,3,3,5,1,5,3.2
3458,Oregon Passenger Rail Improvement: Eugene - Portland,3.5,3,3,3,3.5,3.2
2203,New England Clean Power Link,3.5,3,3,3.5,2.5,3.175
430,Champlain Hudson Power Express (CHPE),3.5,3,3.5,3,2.5,3.175
3502,Southwest Oregon Regional Airport,3,3,3.5,3,4,3.175
3465,Port Lions Airport Improvement,3,3,3.5,3,4,3.175
3938,"Springwells Water Treatment Plant, Low-Lift and High-Lift Pumping Station Improvements",2.5,3,4,4,3,3.15
3927,Freshwater 200MW Solar Project,3,3,3,4,3,3.15
3900,Niyol 200MW Wind Project,3,3,3,4,3,3.15
3898,Axial Basin 145MW Solar Project,3,3,3,4,3,3.15
3888,Summit Ridge 195MW Wind Project,3,3,3,4,3,3.15
3852,Orange County Coastal Storm Risk Management Project,3,3,3,4,3,3.15
3839,Techren Solar V,3,3,3,4,3,3.15
3740,Nampa WWTP Phase II,3,3,3,4,3,3.15
3731,Big Bend Wind Project,3,3,3,4,3,3.15
3630,Big Sky Water Resource Recovery Facility Upgrade and Expansion,3,3,3,4,3,3.15
3609,Spanish Peaks Solar Project,3,3,3,4,3,3.15
3521,Mineville Energy Storage Project,3,3,3,4,3,3.15
3393,Miami-Dade Beach Transit Corridor,3,3,3,4,3,3.15
3943,Howell Wastewater Treatment Plant Improvements,3,3,4,4,1.5,3.15
3750,White Mesa Wind Farm,3,3,2,5,3,3.15
3730,I-405 - NE 132nd St. Interchange Improvements,3,3,4,3,3,3.15
3725,Bowman Wind Farm,3,3,2.5,4.5,3,3.15
3626,"I-90: Division Street, Elizabeth Park Overpass replacements",3,3,4,3,3,3.15
3624,ID-53: State Line to Rathdrum Corridor,3,3,4,3,3,3.15
3515,Little Cottonwood Canyon,3,3,4,3,3,3.15
2511,I-84 Viaduct Redesign - Hartford,3,3.5,3,3,3,3.15
3681,Lubec Safe Harbor,3.5,3,3,3,3,3.15
1777,Union Station Expansion & Redevelopment,3.5,3,3,3,3,3.15
3941,"14 MILE ROAD DRINKING WATER TRANSMISSION MAIN LOOP PROJECT, PHASES 1 & 2",2.5,3,4,4.5,2,3.125
3473,Miami-Dade Back Bay Coastal Storm Risk Management Project,2,4,3,3,4,3.1
3794,Minneapolis Central City Storm Tunnel,2.5,3.5,4,4,1,3.1
3956,Bloomingdale Water Reclamation Facility Phase 2B Improvements,3,3,4,4,1,3.1
3921,K-10 South Lawrence Trafficway Expansion,3,3,3,3,4,3.1
3792,LPRW Dawson-Boyd Water Source Projects,3,3,4,4,1,3.1
3739,Roaming Bison Wind Project,3,3,3,4,2.5,3.1
3735,Highland Solar Farm,3,3,3,4,2.5,3.1
3720,Homestead Wind Farm,3,3,3,4,2.5,3.1
3717,Bay State Wind Project,3,3,3,4,2.5,3.1
3690,Icebreaker Wind,3,3,3,4,2.5,3.1
3686,Ocean Wind,3,3,3,4,2.5,3.1
3685,South Fork Wind,3,3,3,4,2.5,3.1
3673,East Locust Creek Reservoir (ELCR) Improvements,3,3,3,3,4,3.1
3663,Revolution Wind,3,3,3,4,2.5,3.1
3657,Empire Offshore Wind Farm,3,3,3,4,2.5,3.1
3582,Olathe Diverging Diamond Interchange Reconfiguration Project,3,3,3,3,4,3.1
3576,K-96 Northwest Passage Project,3,3,3,3,4,3.1
3526,NJ Transitgrid Traction Power System,3,3,3,4,2.5,3.1
3503,Rogue Valley International-Medford Airport,3,3,3,3,4,3.1
3935,Western I-80 Reconstruction (incl. New Des Plains River Bridge),3.5,3,2.5,2.5,4,3.1
3946,Bayport-Pioneer Transmission Line Rebuild Project,3,3,3.5,3.5,2.5,3.1
3933,Beardstown 150MW Solar Project,3,3,2.5,4.5,2.5,3.1
3916,I-95 Widening North of Fayetteville: Exit 77 to Exit 81,3,3,4,2,4,3.1
3893,Pyramid Highway/U.S. 395 Connection Project,3,3,4,2,4,3.1
3891,Centennial Bowl: US Northwest Corridor Improvements Project Phase 3D,3,3,4,2,4,3.1
3889,I-10 Broadway Curve Project,3,3,4,2,4,3.1
3798,Interstate 17: Anthem Way to Sunset Point,3,3,4,2,4,3.1
3636,South County Traffic Relief Effort,3,3,4,2,4,3.1
3554,Riv 10 Cherry Valley Interchange Improvement Project,3,3,4,2,4,3.1
3533,I-105 ExpressLanes Project,3,3,4,2,4,3.1
3506,SR 51 Corridor Improvements J St to Arden Way,3,3,4,2,4,3.1
3472,Refugio Bridge Replacement,3,3,4,2,4,3.1
3469,Faith Home Road Bridge and Expressway,3,3,4,2,4,3.1
3442,SR132 DAKOTA AVENUE TO GATES ROAD,3,3,4,2,4,3.1
3441,North County Corridor Project,3,3,4,2,4,3.1
3436,State Route 55 (I-5 to SR-91) Improvement Project,3,3,4,2,4,3.1
3433,Dublin Blvd - North Canyons Pkwy Extension,3,3,4,2,4,3.1
3427,"State Route 12 Roadway Resurfacing, Restoration, and Rehabilitation Project",3,3,4,2,4,3.1
3425,Cajalco Road Widening from Temescal Canyon Road to I-215,3,3,4,2,4,3.1
3421,Highway 20 Cure Realignment,3,3,4,2,4,3.1
3408,State Route (SR) 241 to SR 91 Direct Connector,3,3,4,2,4,3.1
3401,Highway 101 HOV Project in Santa Barbara County (Phase 4),3,3,4,2,4,3.1
3645,Saco River Water Treatment Facility,3.5,3,3,3,2.5,3.1
3462,Washington D.C. to Baltimore Loop Project,3.5,3,3,3,2.5,3.1
854,11th Street Bridge Park,3.5,3,3,3,2.5,3.1
3855,New Waldron Memorial Missouri River Bridge,3,3.5,3,2.5,3,3.075
3411,Conflans Rd Extension,3,3,3,3.5,3,3.075
3925,I-270 Chain of Rocks Bridge Replacement,3.5,3,3,2.5,3,3.075
3420,Clear Path 465: Interstate 465 & 69 Northeast Interchange Project,3.5,3,3,2.5,3,3.075
3886,I-5 Rose Quarter Improvement Project,3,3,3.5,3,3,3.075
3806,Port Milwaukee Agricultural Maritime Export Facility,3,3,3.5,3,3,3.075
3902,Coyote Gulch 120MW Solar Project,2,3,4,5,2,3.05
3901,Dolores Canyon 110MW Solar project,2,3,4,5,2,3.05
4020,Tampa Streetcar Extension & Modernization,3,4,1,4,2,3.05
4007,Port of Houston Barbours Cut Restoration and Upgrade Project,3,4,1,4,2,3.05
3887,Gillam County 162MW Solar Facility,3,3.5,3,3,2,3.05
3648,Mill Creek Trunk Improvements and Equalization Facility,3,4,1,4,2,3.05
3603,Dodge Flat Solar Energy Center,3,3,2,5,2,3.05
3552,I-605 Corridor Improvement Project,3,3,3,2,5,3.05
3541,605/Valley Blvd: Interchange Improvement Project,3,3,3,2,5,3.05
3523,710 Freight Corridor,3,3,3,2,5,3.05
3517,Assembly Street Railroad Consolidation Project,3,4,1,4,2,3.05
3508,SR 99 El Dorado to Clinton Rehab,3,3,3,2,5,3.05
3495,Bob Hope Hollywood Burbank Replacement Terminal,3,3,3,2,5,3.05
3454,Gemini Solar Project,3,3,2,5,2,3.05
3450,Grapevine Interchange Relocation,3,3,3,2,5,3.05
3571,Grand Coulee Dam Third Power Plant Overhaul Phase II,4,3,2,3,2,3.05
2808,South Dade TransitWay Corridor BRT,4,3,1,4,2,3.05
3811,I-235/I-44 Off Broadway Interchange Project,5,3,1,2,2,3.05
2951,Gilcrease Expressway West PPP,3,3,3,3,3,3
399,Hood River-White Salmon Bridge Replacement,3,3,3,3,3,3
3940,Freud & Conner Creek Pump Station Improvements,3,3,3,3,3,3
3639,LYNX Silver Line Project,3,3,3,3,3,3
3778,"23rd St, Columbus",3,3,3,3,3,3
3667,120th Street Improvements,3,3,3,3,3,3
3646,IndyGo BRT Blue Line,3,3,3,3,3,3
3818,Madison County Mega Site Substation,3,3,3,3,3,3
3947,Western Spirit Transmission Project,3,3,3,3,3,3
2241,Lake Powell Pipeline,3,3,3,3,3,3
3805,Madison BRT Phase 1,3,3,3,3,3,3
3397,Soo Locks Modernization Project,3,3,3,3,3,3
3498,"Coos Bay, Oregon Channel Modification",3,3,3,3,3,3
3776,South Bay International Wastewater Treatment Plant Improvements,3,3,3,3,3,3
2632,Hampton Roads Bridge-Tunnel Expansion,3,3,3,3,3,3
1768,Vermont Green Line,3,3,3,3,3,3
3643,Offutt Air Force Base Runway Reconstruction,3,3,3,3,3,3
3929,Badger Hollow 300MW Solar Project,3,3,3,3,3,3
3949,Crowned Ridge Wind II,3,3,3,3,3,3
3952,Corona Wind Projects (2.2GW),3,3,3,3,3,3
3953,South & Central District Wastewater Treatment Plants Dewatering Thickening Facilities,3,3,3,3,3,3
3868,Alabama Municipal Electric Authority 100MW Solar Project,3,3,3,3,3,3
3707,Tip Top Wind Farm,3,3,3,3,3,3
3428,Noatak Airport Relocation,3,3,3,3,3,3
410,Alaska LNG Project,3,3,3,3,3,3
3593,Reimagine I-10,2,4,3,3,3,3
3736,Great Pathfinder Wind Project,2.5,3,3,4,3,3
4011,Earthquake Ready Burnside Bridge project,3,3,3,3,3,3
3997,The Flaming Gorge Project,3,3,3,3,3,3
3948,Chevelon Butte 477MW Wind Farm,3,3,3,3,3,3
3920,Polk-Quincy Viaduct Replacement and Topeka I-70 Modernization,3,3,3,3,3,3
3874,Sterling Highway MP 45-60 Project,3,3,3,3,3,3
3873,Seward Highway O'Malley Road to Dimond Boulevard Reconstruction Phase II,3,3,3,3,3,3
3872,Seward Highway MP 75-90 Rehabilitation Project Phase II,3,3,3,3,3,3
3871,Seward Highway Windy Corner improvement,3,3,3,3,3,3
3821,"Sonoran Energy Center 250MW, 1GWh Battery Facility",3,3,3,3,3,3
3734,I-5 - SR 161/SR 18 Triangle Improvements,3,3,3,3,3,3
3733,SR 522 - Paradise Lake Road to Snohomish River Widening,3,3,3,3,3,3
3716,Bay Park Conveyance Project,3,3,3,3,3,3
3683,Mullan BUILD: Proactively and Collaboratively Building a Better Missoula,3,3,3,3,3,3
3641,Valley Metro Northwest Extension Phase II,3,3,3,3,3,3
3620,Clearwater Memorial Bridge Rehabilitation,3,3,3,3,3,3
3613,I-84 Corridor Improvement: Caldwell to Karcher,3,3,3,3,3,3
3604,Fish Springs Ranch Solar Energy Center,3,3,3,3,3,3
3601,Battle Mountain Solar Project,3,3,3,3,3,3
3588,Permian Basin Roads,3,3,3,3,3,3
3555,RapidRide J Line,3,3,3,3,3,3
3512,"I-405, SR 522 Vicinity to SR 527 Express Toll Lanes Improvement Project",3,3,3,3,3,3
3485,Canyon Road Regional Connection Project,3,3,3,3,3,3
3429,McGrath Airport Rehabilitation,3,3,3,3,3,3
3422,I-65/I-70 North Split Reconstruction,3,3,3,3,3,3
3418,SH 190 - East Branch Project,3,3,3,3,3,3
3180,I-405 Highway Widening/Toll Installation,3,3,3,3,3,3
2939,I-405 Bus Rapid Transit,3,3,3,3,3,3
2223,ITC Lake Erie Connector,3,3,3,3,3,3
2155,Jefferson Parkway,3,3,3,3,3,3
1752,Puget Sound Gateway Project,3,3,3,3,3,3
3974,LA 1 Improvement Project Phase 2: Golden Meadow to Leeville,3,4,2,2,3,3
3928,Badger State 149MW Solar Project,3,2.5,3.5,4,2,2.975
3995,Kaiser Permanente Greater Baltimore Facility Expansion,3,2.5,4,3,2.5,2.95
3918,Metro-North Penn Station Access Project,3,3,3,3,2.5,2.95
3843,Riddle Hospital Upgrade,3,2.5,4,3,2.5,2.95
3837,Brigham & Women's Faulkner Hospital Expansion,3,2.5,4,3,2.5,2.95
3761,Pittsburgh BRT,3,3,3,3,2.5,2.95
3743,Sherman Minton Bridge Renewal,3,3,3,3,2.5,2.95
3706,King of Prussia Rail Project,3,3,3,3,2.5,2.95
3961,Central Avenue BRT (Tampa Bay Area),3,4,1,4,1,2.95
3841,Ascension Saint Thomas Rutherford Hospital at Westlawn,3,4,1,4,1,2.95
3797,Palm Coast Wastewater Treatment Plant Expansion,3,4,1,4,1,2.95
3644,Birmingham Xpress BRT,3,4,1,4,1,2.95
3619,Waterway Village Multimodal Access Project,3,5,1,2,1,2.95
3461,US 281/IH 69,3,3,3.5,2.5,2.5,2.95
3399,I-10 Widening Baton Rouge,3,3,3,2,4,2.95
2130,Driftwood LNG,3,4,2,1,4,2.95
3534,"Winterset Municipal Airport, Land Acquisition and New Runway",2.5,3,3.5,3,3,2.925
3817,Great Lakes Tunnel Project,3,3,3,2.5,3,2.925
3804,"I-69 Reconstruction, Calhoun & Eaton Counties",3,3,3,2.5,3,2.925
3803,"US-31 Relocation, Berrien County",3,3,3,2.5,3,2.925
3749,WV 2 Proctor-Kent,3,3,3,2.5,3,2.925
3567,I-43 Expansion Project,3,3,3,2.5,3,2.925
3564,(TX) US 59 Upgrade Shepherd - Cleveland (FM 2914 - LIBERTY C/L),3,3,3,2.5,3,2.925
3557,(TX) SH 286 (FM 43 to FM 2444),3,3,3,2.5,3,2.925
3530,FM 552 Widening (SH 205 - SH 66),3,3,3,2.5,3,2.925
3470,US 90 Improvements,3,3,3,2.5,3,2.925
3409,US 59 Corrigan Relief Route,3,3,3,2.5,3,2.925
2665,Appalachia Storage and Trading Hub Project,3,3,3,2.5,3,2.925
3483,FM 16 Extension,3,3,3,3,2,2.9
3482,FM 148 Bypass,3,3,3,3,2,2.9
3525,US 380 Widening,3.5,3,2.5,2.5,2,2.9
3897,Searcy 100MW Solar Project,3,3,1,5,2,2.9
3869,Wing 80MW Solar project,3,3,1,5,2,2.9
3820,Sunflower Solar 100MW Project,3,3,1,5,2,2.9
3812,Happy Solar 132MW project,3,3,1,5,2,2.9
3415,Venetian Causeway Bridges,3,4,1,3,2,2.9
2896,Camden Spaceport,3,4,1,3,2,2.9
3967,Belle Chasse Bridge & Tunnel Replacement,4,3,1,3,2,2.9
4009,Merrimac Bridge Rehabilitation and Span Replacement,3,3,3,2.5,2.5,2.875
3814,I-94 Interchange Project Kalamazoo,3,3,3,2.5,2.5,2.875
3574,I-96 Flex Route,3,3,3,2.5,2.5,2.875
3573,Milwaukee East-West BRT,3,3,3,2.5,2.5,2.875
3407,FM 548 Widening,3,3,3,2.5,2.5,2.875
3402,VIA Advanced Rapid Transit Network Project,1,5,1,4,3,2.85
3745,Greenbag Road Bridge,2.5,3,3.5,2.5,3,2.85
3532,FM 1461 Reconstruction and Widening,2.5,3,3.5,2.5,3,2.85
3496,I-95 Access Improvements,2.5,3,3,3,3,2.85
2813,I-95 ETL Northbound,2.5,3,3,3,3,2.85
3924,I-285 Eastside Express Lanes project,3,3,3,2,3,2.85
3895,I-15 Tropicana Project,3,3,3,2,3,2.85
3894,US 395 North Valleys Project,3,3,3,2,3,2.85
3890,Reno Spaghetti Bowl Xpress,3,3,3,2,3,2.85
3864,Buckeye XPress,3,3,3,2,3,2.85
3709,U.S. 70 Improvements in James City,3,4,1,2,3,2.85
3621,NM 68 Road and Bridge Improvement Project (Phase 2),3,3,3,2,3,2.85
3560,I-285/I-20 East Interchange,3,3,3,2,3,2.85
3539,San Bernardino I-10 Truck Climbing Lane Improvement,3,3,3,2,3,2.85
3509,US 101 SB Pismo Congestion Relief Project,3,3,3,2,3,2.85
3507,STOCKTON CHANNEL VIADUCT BRIDGE REHAB,3,3,3,2,3,2.85
3487,Cap City Corridor Project,3,3,3,2,3,2.85
3453,The Old Road Bridges Replacement,3,3,3,2,3,2.85
3432,Broadway Bridge Construction,3,3,3,2,3,2.85
3410,Limekiln Creek Bridge Replacement,3,3,3,2,3,2.85
3065,Charlotte Douglas International Airport Fourth Parallel Runway,3,3,3,2,3,2.85
3912,Rutherfordton Bypass,4,3,1,2,3,2.85
3756,Caldwell Bridge,3,3,3,2.5,2,2.825
3755,Beechurst Avenue,3,3,3,2.5,2,2.825
3629,US 83/84 Y Intersection,3,3,3,2.5,2,2.825
3592,I-29 (Exit 77) 41st Street Interchange and 41st Street Corridor Reconstruction Project,3,3,3,2.5,2,2.825
3591,US 67 Corridor,2,3,3,3,4,2.8
4001,Ramsey Gateway Project,3,3,3,2,2.5,2.8
3857,"Route 4, Grand Avenue Bridge Replacement",3,2.5,3,3,2.5,2.8
3849,Pelham Bay Bridge Replacement,3,2.5,3,3,2.5,2.8
3848,East River Tunnel Rehabilitation,3,2.5,3,3,2.5,2.8
3846,Connecticut River Bridge Replacement,3,2.5,3,3,2.5,2.8
3845,Susquehanna River Rail Bridge Project,3,2.5,3,3,2.5,2.8
3836,Western Hills Viaduct Replacement,3,2.5,3,3,2.5,2.8
3723,Madawaska/Edmundston International Bridge Replacement Project,3,2.5,3,3,2.5,2.8
